snapped_at,volume
2024-03-26 08:20:00 +0000,1076443601.96200520126913157304664052
2024-03-27 08:20:00 +0000,1015920669.09554187505861379078791708
2024-03-28 08:20:00 +0000,1253543265.91167003717864142925755719
2024-03-29 08:20:00 +0000,1134120925.7261197863743776562575931
2024-03-30 08:20:00 +0000,932867129.91550123631175949285046523
2024-03-31 08:20:00 +0000,648792942.1240601520580429304991648
2024-04-01 08:20:00 +0000,811068235.96109691499864724901726135
2024-04-02 08:20:00 +0000,953724131.97233272859913155987987624
2024-04-03 08:20:00 +0000,894373914.08701621325941691715751829
2024-04-04 08:20:00 +0000,701286116.90109999149360230539019371
2024-04-05 08:20:00 +0000,735539096.00268705297237479659131952
2024-04-06 08:20:00 +0000,509229475.65422755509697188948511056
2024-04-07 08:20:00 +0000,440558354.14733862270278246131339482
2024-04-08 08:20:00 +0000,472527666.4285717727669389382695857
2024-04-09 08:20:00 +0000,792268004.84102721673541263991901672
2024-04-10 08:20:00 +0000,727806235.24380987757608987309150646
2024-04-11 08:20:00 +0000,641937332.66178968295820139665668628
2024-04-12 08:20:00 +0000,565038684.73897374289999982701888445
2024-04-13 08:20:00 +0000,1132106141.47009495991812024166935772
2024-04-14 08:20:00 +0000,1146839067.54949817677181294746020993
2024-04-15 08:20:00 +0000,796456285.75023714796509075430355355
2024-04-16 08:20:00 +0000,841261904.121893659470698852729811
2024-04-17 08:20:00 +0000,608380733.48798339733191810384921154
2024-04-18 08:20:00 +0000,682595453.29564171471764412456871415
2024-04-19 08:20:00 +0000,832179810.337819084271227282846113
2024-04-20 08:20:00 +0000,472809911.08994844375838058641394896
2024-04-21 08:20:00 +0000,486948407.50867292529027722370226086
2024-04-22 08:20:00 +0000,498594580.87108387459166146169472438
2024-04-23 08:20:00 +0000,606379853.24003851484973942095325024
2024-04-24 08:20:00 +0000,618278433.90462015444194703723453642
2024-04-25 08:20:00 +0000,672496908.34109568556902806554444648
2024-04-26 08:20:00 +0000,485774480.20528769138404689541799295
2024-04-27 08:20:00 +0000,429809354.59591035151013874155160319
2024-04-28 08:20:00 +0000,396807631.2364926438296539429445652
2024-04-29 08:20:00 +0000,478709679.5142503989732405027014481
2024-04-30 08:20:00 +0000,479055026.16497366328225235796969568
2024-05-01 08:20:00 +0000,681777530.42127645611804972607105121
2024-05-02 08:20:00 +0000,576185972.75815529262841338207029616
2024-05-03 08:20:00 +0000,415925068.81742240149784309712238578
2024-05-04 08:20:00 +0000,494770091.84949852384931492477779147
2024-05-05 08:20:00 +0000,362469641.53269053847013318991035496
2024-05-06 08:20:00 +0000,353332198.69285929070265945511822767
2024-05-07 08:20:00 +0000,525686332.03724315450017393366173296
2024-05-08 08:20:00 +0000,465497483.60021117120293275841384064
2024-05-09 08:20:00 +0000,501289297.06058109911202085155042225
2024-05-10 08:20:00 +0000,448608511.49412107600032338302693916
2024-05-11 08:20:00 +0000,391436655.1645153017711280548364701
2024-05-12 08:20:00 +0000,214219516.76986752131019923981944041
2024-05-13 08:20:00 +0000,343738778.54948115832063216371337992
2024-05-14 08:20:00 +0000,459068113.62869120514808330839549763
2024-05-15 08:20:00 +0000,354454517.68014932797598146506529088
2024-05-16 08:20:00 +0000,625254543.5501552002342501415338602
2024-05-17 08:20:00 +0000,474808557.30862077462438279835000264
2024-05-18 08:20:00 +0000,354987402.67688038867404333712404781
2024-05-19 08:20:00 +0000,286623219.12680211897252594776249102
2024-05-20 08:20:00 +0000,389796663.25553879950715869858810128
2024-05-21 08:20:00 +0000,711411430.3536223316005576641968154
2024-05-22 08:20:00 +0000,542911955.30339643785191004225202144
2024-05-23 08:20:00 +0000,464472181.7306214294297837687581748
2024-05-24 08:20:00 +0000,894271044.36549683939193944926444704
2024-05-25 08:20:00 +0000,410627079.19530794411674195286785503
2024-05-26 08:20:00 +0000,348458950.8245416739954584812177268
2024-05-27 08:20:00 +0000,595776045.90528938102566729519571175
2024-05-28 08:20:00 +0000,1096872861.83921090612764988912092752
2024-05-29 08:20:00 +0000,922781580.4036408455534926527997969
2024-05-30 08:20:00 +0000,820820904.25181652499497219717918778
2024-05-31 08:20:00 +0000,647879504.116338898323157544694388
2024-06-01 08:20:00 +0000,448616412.45797075688124250356633557
2024-06-02 08:20:00 +0000,373301827.00051626103003956468349214
2024-06-03 08:20:00 +0000,462627663.07876863282163258517187844
2024-06-04 08:20:00 +0000,495768102.34770165187831055362009272
2024-06-05 08:20:00 +0000,497241975.860332677491513447581
2024-06-06 08:20:00 +0000,420260332.42011241314767267366690558
2024-06-07 08:20:00 +0000,451122385.18801974369500603721765658
2024-06-08 08:20:00 +0000,737432021.32010400492946441049807868
2024-06-09 08:20:00 +0000,442842114.19418952682987418348798946
2024-06-10 08:20:00 +0000,366370318.16097280309437582049492446
2024-06-11 08:20:00 +0000,545493183.56068773498227964854115688
2024-06-12 08:20:00 +0000,549615797.4080325801100178294056362
2024-06-13 08:20:00 +0000,553901943.6640147513209638473510052
2024-06-14 08:20:00 +0000,458710437.0523017004913021468859703
2024-06-15 08:20:00 +0000,393537253.481000935970872931244522
2024-06-16 08:20:00 +0000,246135649.469746582605782259142023
2024-06-17 08:20:00 +0000,359762528.376906657784628425970038
2024-06-18 08:20:00 +0000,654991633.18161743333443188570502731
2024-06-19 08:20:00 +0000,482937175.3896984885250368199883436
2024-06-20 08:20:00 +0000,368738220.86337177590914773554417935
2024-06-21 08:20:00 +0000,447355221.36946466332774259980964418
2024-06-22 08:20:00 +0000,315893359.46638372566036315282558434
2024-06-23 08:20:00 +0000,169568533.78463138425818997355429363
2024-06-24 08:20:00 +0000,325327909.61825063411664900558226518
2024-06-25 08:20:00 +0000,520820951.03275721604796831918183425
2024-06-26 08:20:00 +0000,352773973.03040706009778166131481817
2024-06-27 08:20:00 +0000,362403183.237091816641536314162368
2024-06-28 08:20:00 +0000,406082390.24533025956904873209370565
2024-06-29 08:20:00 +0000,276400039.0036012868075032663727069
2024-06-30 08:20:00 +0000,200031782.58800300815494038698542552
2024-07-01 08:20:00 +0000,304114331.41306065482261360186491752
2024-07-02 08:20:00 +0000,301540783.91051465473209239480455542
2024-07-03 08:20:00 +0000,379687552.3187947026960733800002532
2024-07-04 08:20:00 +0000,490057287.51519807653178242753195529
2024-07-05 08:20:00 +0000,743893868.69469688456102618666836725
2024-07-06 08:20:00 +0000,456691169.5888598963345601212081886
2024-07-07 08:20:00 +0000,327864172.71834651797742614602946984
2024-07-08 08:20:00 +0000,477531035.55332548247329832692144093
2024-07-09 08:20:00 +0000,652794769.490469582458971494814173
2024-07-10 08:20:00 +0000,501495335.298744540748654755646722
2024-07-11 08:20:00 +0000,522611806.84056821861404307206207582
2024-07-12 08:20:00 +0000,485025480.92785988160825835036639347
2024-07-13 08:20:00 +0000,329215099.80823266246043283472141528
2024-07-14 08:20:00 +0000,369968458.88895159076789096895246622
2024-07-15 08:20:00 +0000,435195523.6299479335873632815579905
2024-07-16 08:20:00 +0000,694472861.99964308594837236836929423
2024-07-17 08:20:00 +0000,730546437.93912296453895402247628741
2024-07-18 08:20:00 +0000,660861716.0335416910852056124911648
2024-07-19 08:20:00 +0000,564388936.2158133917808329777448264
2024-07-20 08:20:00 +0000,521772570.99031502671122322777373736
2024-07-21 08:20:00 +0000,405574895.29739209229485552813182296
2024-07-22 08:20:00 +0000,576731806.39284397406705887398738167
2024-07-23 08:20:00 +0000,502173558.24971235111923902319866285
2024-07-24 08:20:00 +0000,609695589.33458359454699748835024648
2024-07-25 08:20:00 +0000,610804298.15689487888302510885381485
2024-07-26 08:20:00 +0000,530901357.7242669872015090542640286
2024-07-27 08:20:00 +0000,442561997.2977620682047936495778087
2024-07-28 08:20:00 +0000,466868328.98521362629063379286068096
2024-07-29 08:20:00 +0000,1457910.5799935884
2024-07-30 08:20:00 +0000,419941913.82468551327957233232213163
2024-07-31 08:20:00 +0000,411224187.36234383028040564842648435
2024-08-01 08:20:00 +0000,440455505.19279932692269831614433846
2024-08-02 08:20:00 +0000,457568246.3006578848647812602781074
2024-08-03 08:20:00 +0000,493108152.6484658761940279456282799
2024-08-04 08:20:00 +0000,335574021.56864479899101323792152678
2024-08-05 08:20:00 +0000,1130280029.30508409313162727395941856
2024-08-06 08:20:00 +0000,1112049247.07690972216467528382952939
2024-08-07 08:20:00 +0000,589762070.80486055851834987864789303
2024-08-08 08:20:00 +0000,749451590.8307721412598867139866094
2024-08-09 08:20:00 +0000,642495322.11919224650553090911284168
2024-08-10 08:20:00 +0000,362797264.55554919623244601989181856
2024-08-11 08:20:00 +0000,260858452.88101890120158162741164288
2024-08-12 08:20:00 +0000,497131219.87885483238867655518433705
2024-08-13 08:20:00 +0000,569048636.36977211960737798013420176
2024-08-14 08:20:00 +0000,430767616.313229346740207181692823
2024-08-15 08:20:00 +0000,396422443.28385426800325574720091094
2024-08-16 08:20:00 +0000,409266197.69544489171249306247780445
2024-08-17 08:20:00 +0000,283199276.18311109583009732062457375
2024-08-18 08:20:00 +0000,181634976.3149824465648310509717295
2024-08-19 08:20:00 +0000,439426640.30933632479068360584573302
2024-08-20 08:20:00 +0000,486275710.35388314943818610082974852
2024-08-21 08:20:00 +0000,426887297.58829605344696770676110552
2024-08-22 08:20:00 +0000,422611311.41849416799173067942560476
2024-08-23 08:20:00 +0000,445363984.77218085575432479776833545
2024-08-24 08:20:00 +0000,834858171.77977384114682886755794625
2024-08-25 08:20:00 +0000,527652759.9929534946080913150667272
2024-08-26 08:20:00 +0000,413694660.8363886520379458954934956
2024-08-27 08:20:00 +0000,461550612.62734987028012036761797874
2024-08-28 08:20:00 +0000,596430491.134980717647443199400618
2024-08-29 08:20:00 +0000,423784224.9239152573996773529410786
2024-08-30 08:20:00 +0000,445087796.42752778975375286426807186
2024-08-31 08:20:00 +0000,340093115.24056729976638899680797184
2024-09-01 08:20:00 +0000,239606387.91280566214090925322028009
2024-09-02 08:20:00 +0000,311200014.54100505096974574866471158
2024-09-03 08:20:00 +0000,365705273.10622175025206017726796604
2024-09-04 08:20:00 +0000,478334621.95321011387218622123111072
2024-09-05 08:20:00 +0000,428012875.60108304616330857000447076
2024-09-06 08:20:00 +0000,469528273.04658979006505918433873105
