,usd_to_krw
2024-11-11,1397.199951171875
2024-11-12,1400.550048828125
2024-11-13,1406.6500244140625
2024-11-14,1399.0
2024-11-15,1400.8299560546875
2024-11-18,1394.3499755859375
2024-11-19,1389.5
2024-11-20,1392.1600341796875
2024-11-21,1397.6199951171875
2024-11-22,1399.5999755859375
2024-11-25,1403.510009765625
2024-11-26,1395.56005859375
2024-11-27,1395.27001953125
2024-11-28,1388.469970703125
2024-11-29,1393.300048828125
2024-12-02,1399.8599853515625
2024-12-03,1401.06005859375
2024-12-04,1411.6700439453125
2024-12-05,1410.800048828125
2024-12-06,1399.989990234375
2024-12-09,1424.219970703125
2024-12-10,1426.5999755859375
2024-12-11,1433.949951171875
2024-12-12,1429.1500244140625
2024-12-13,1427.8599853515625
2024-12-16,1434.449951171875
2024-12-17,1431.3499755859375
2024-12-18,1436.4200439453125
2024-12-19,1451.5
2024-12-20,1437.449951171875
2024-12-23,1445.4200439453125
2024-12-24,1442.699951171875
2024-12-25,1453.4200439453125
2024-12-26,1457.6099853515625
2024-12-27,1466.989990234375
2024-12-30,1472.800048828125
2024-12-31,1467.3900146484375
2025-01-01,
2025-01-02,1473.52001953125
2025-01-03,1471.6500244140625
2025-01-06,1465.530029296875
2025-01-07,1459.449951171875
2025-01-08,1451.8800048828125
2025-01-09,1457.969970703125
2025-01-10,1455.22998046875
2025-01-13,1472.25
2025-01-14,1458.8900146484375
2025-01-15,1460.43994140625
2025-01-16,1437.219970703125
2025-01-17,1453.3199462890625
2025-01-20,1457.3800048828125
2025-01-21,1435.530029296875
2025-01-22,1425.7900390625
2025-01-23,1434.3399658203125
2025-01-24,1433.9300537109375
2025-01-27,1427.6300048828125
2025-01-28,1417.9200439453125
2025-01-29,1443.260009765625
2025-01-30,1443.3199462890625
2025-01-31,1441.6600341796875
2025-02-03,1456.780029296875
2025-02-04,1459.050048828125
2025-02-05,1450.1600341796875
2025-02-06,1443.8900146484375
2025-02-07,1442.1500244140625
2025-02-10,1450.6199951171875
2025-02-11,1453.2099609375
2025-02-12,1450.75
2025-02-13,1452.1199951171875
2025-02-14,1438.739990234375
2025-02-17,1432.5999755859375
2025-02-18,1442.9300537109375
