snapped_at,volume
2024-03-26 08:10:00 +0000,6976617333.1974375939385647235020054
2024-03-27 08:10:00 +0000,7127616829.4094766803166867500922016
2024-03-28 08:10:00 +0000,5687615296.79452822368348748155440208
2024-03-29 08:10:00 +0000,4943844698.92195042290160265557799696
2024-03-30 08:10:00 +0000,4398026483.4217654057821932377853836
2024-03-31 08:10:00 +0000,2831052315.97590809196074034356607986
2024-04-01 08:10:00 +0000,3685614355.0147436042293615616075466
2024-04-02 08:10:00 +0000,3831913502.51420228576687231166555838
2024-04-03 08:10:00 +0000,3472829609.2109230385865577482315789
2024-04-04 08:10:00 +0000,2488578475.90409642617428614258044732
2024-04-05 08:10:00 +0000,3590661362.9920005274718114641128372
2024-04-06 08:10:00 +0000,2406787652.92197562618790891163727998
2024-04-07 08:10:00 +0000,2026733642.068978152694480790125415
2024-04-08 08:10:00 +0000,1901206622.11265058810353198522321457
2024-04-09 08:10:00 +0000,4669603700.5185436780873236912700015
2024-04-10 08:10:00 +0000,3620249265.5939778959896579987682598
2024-04-11 08:10:00 +0000,3086202536.38670152531624682910950098
2024-04-12 08:10:00 +0000,3360744668.21914000230999960185914625
2024-04-13 08:10:00 +0000,5284066806.64124245669838883216641998
2024-04-14 08:10:00 +0000,4768875679.69424717905821804192814636
2024-04-15 08:10:00 +0000,3945232288.23273259185285429775792502
2024-04-16 08:10:00 +0000,3438173681.0742894864544532510456064
2024-04-17 08:10:00 +0000,2343539792.858192625508069390297366
2024-04-18 08:10:00 +0000,2620193070.26309567965756798188669944
2024-04-19 08:10:00 +0000,4424215215.50501879765905184302970678
2024-04-20 08:10:00 +0000,2665440756.48258856064639107113664656
2024-04-21 08:10:00 +0000,2506258325.7934460950463817573253431
2024-04-22 08:10:00 +0000,2752204369.01672084864681613050471875
2024-04-23 08:10:00 +0000,2408745537.78638143699436996926981092
2024-04-24 08:10:00 +0000,3923572860.47714976600451964925666096
2024-04-25 08:10:00 +0000,3012008123.69822221524638412100003457
2024-04-26 08:10:00 +0000,2124240783.56959847932769066244152925
2024-04-27 08:10:00 +0000,1865500904.37320280693486090745580934
2024-04-28 08:10:00 +0000,2135216215.1038349680348675183886562
2024-04-29 08:10:00 +0000,2332824948.9221941983720525163216939
2024-04-30 08:10:00 +0000,1876509812.6467376186707042133299088
2024-05-01 08:10:00 +0000,2896290639.62009553885213044172508424
2024-05-02 08:10:00 +0000,2397989659.60575805556486581288011066
2024-05-03 08:10:00 +0000,1743486988.14945505189133010294330987
2024-05-04 08:10:00 +0000,2796170961.73714340508045232962768409
2024-05-05 08:10:00 +0000,2253784741.17517556386909750565994724
2024-05-06 08:10:00 +0000,1680785922.46005421373939492294424616
2024-05-07 08:10:00 +0000,2333147440.33044335518268604638904358
2024-05-08 08:10:00 +0000,1526911946.63459962066172020795836504
2024-05-09 08:10:00 +0000,1593024680.69499900391952395506133861
2024-05-10 08:10:00 +0000,1653582217.51822541665626078260293204
2024-05-11 08:10:00 +0000,1536813955.21422868081166006952011421
2024-05-12 08:10:00 +0000,931553688.35480303493782650595301888
2024-05-13 08:10:00 +0000,1232863345.317826350782764262830667
2024-05-14 08:10:00 +0000,1739096832.9165593789707345143374648
2024-05-15 08:10:00 +0000,1236460697.52505623291222574609038
2024-05-16 08:10:00 +0000,2489981560.56253963234080457944645548
2024-05-17 08:10:00 +0000,1651831203.23546203777297960571046284
